Title,Rooms,Price,Size,Type,Year,Location
Helsinki Meilahti Pihlajatie 17 1h kk kh,1H,206000,23,Kerrostalo,1940,Uusimaa
2H 62m² Pisanniitty 4 Espoo,2H,13852,62,Rivitalo,1993,Uusimaa
3H 80m² Perkiöntie 11 Orimattila,3H,94000,80,Omakotitalo,1964,Päijät-Häme
3H 68m² Hiihtäjäntie 15 A Kuopio,3H,157000,68,Kerrostalo,1964,Pohjois-Savo
2H 46m² Rajamaantie 3 A Pudasjärvi,2H,78000,46,Rivitalo,2006,Pohjois-Pohjanmaa
2H 635m² Vanhatie 20 C Kitee,2H,9000,63,Kerrostalo,1969,Pohjois-Karjala
4H 925m² Abrasinmäentie 9 Kirkkonummi,4H,46143,92,Rivitalo,2014,Uusimaa
Lahti Paavola Sepänkatu 3 2h k kph s lasp,2H,139000,51,Kerrostalo,2000,Päijät-Häme
3H 71m² Yliopistonkatu 39 Turku,3H,297000,71,Kerrostalo,1963,Varsinais-Suomi
2H 515m² Pyhän Katariinan tie 6 B Kaarina,2H,107000,51,Kerrostalo,1985,Varsinais-Suomi
Espoo Olari Kuitinmäki Puolikuu 3 2h avok kphw,2H,179000,46,Kerrostalo,1977,Uusimaa
1H 305m² Toivolankuja 2 A Oulu,1H,69000,30,Kerrostalo,2002,Pohjois-Pohjanmaa
Lappeenranta Lauritsala EteläPuistokatu 17 2hk,2H,55000,47,Kerrostalo,1981,Etelä-Karjala
4H 785m² Piiponraitti 4 Lempäälä,4H,36291,78,Kerrostalo,2018,Pirkanmaa
2H 53m² Satulamaakarintie 2 Espoo,2H,28972,53,Kerrostalo,2012,Uusimaa
4H 105m² Palttinapolku 8 Espoo,4H,61454,105,Rivitalo,2015,Uusimaa
2H 37m² Satamakatu 25 Kuopio,2H,13805,37,Kerrostalo,1997,Pohjois-Savo
3H 835m² Satamakatu 23 Kuopio,3H,26557,83,Kerrostalo,1998,Pohjois-Savo
